"Country/Area","iso_3digit_alpha"
"Bosnia and Herzegovina","BIH"
"China (mainland)","CHN"
"Iran, Islamic Republic of","IRN"
"Lao People's Democratic Republic","LAO"
"Liechtenstein","LIE"
"Kingdom of Eswatini","SWZ"
"Kosovo","XKX"
"Micronesia (Federated States of)","FSM"
"Monaco","MCO"
"Puerto Rico","PRI"
"Republic of North Macedonia","MKD"
"Sint Maarten (Dutch part)","SXM"
"Syrian Arab Republic","SYR"
"Türkiye","TUR"
"United Kingdom of Great Britain and Northern Ireland","GBR"
"United Republic of Tanzania: Mainland","TZA"
"United Republic of Tanzania: Zanzibar","ZNZ"
"United States","USA"
"Venezuela (Bolivarian Republic of)","VEN"
