"Country/Area","Year","Unit","GDP, Per Capita GDP - US Dollars"
"Afghanistan","2021","US$","372.5488747800418"
"Africa","2021","US$","1959.0437042754056"
"Albania","2021","US$","6396.46181225342"
"Algeria","2021","US$","3700.324057834338"
"Americas","2021","US$","29722.973670723983"
"Andorra","2021","US$","42066.04156968585"
"Angola","2021","US$","2044.2182115246992"
"Anguilla","2021","US$","19216.327989260128"
"Antigua and Barbuda","2021","US$","15245.818985399972"
"Argentina","2021","US$","10761.081626964278"
"Armenia","2021","US$","4966.516675678819"
"Aruba","2021","US$","29342.100855878063"
"Asia","2021","US$","7988.95181589519"
"Australia","2021","US$","66915.8592008469"
"Australia and New Zealand","2021","US$","63926.92571905377"
"Austria","2021","US$","53840.393295350164"
"Azerbaijan","2021","US$","5296.443211687571"
"Bahamas","2021","US$","27478.389628983146"
"Bahrain","2021","US$","26562.974042819285"
"Bangladesh","2021","US$","2449.906516762977"
"Barbados","2021","US$","17225.462304409673"
"Belarus","2021","US$","7121.0046888245615"
"Belgium","2021","US$","51165.51022226701"
"Belize","2021","US$","6228.700853183878"
"Benin","2021","US$","1360.911474217921"
"Bermuda","2021","US$","112652.64635039339"
"Bhutan","2021","US$","3062.9149753761885"
"Bolivia (Plurinational State of)","2021","US$","3345.1965887432802"
"Bosnia and Herzegovina","2021","US$","7143.283962600179"
"Botswana","2021","US$","6805.247712627015"
"Brazil","2021","US$","7507.160245564557"
"British Virgin Islands","2021","US$","49443.86887089519"
"Brunei Darussalam","2021","US$","31448.91360813847"
"Bulgaria","2021","US$","12207.257714981306"
"Burkina Faso","2021","US$","893.0771959864603"
"Burundi","2021","US$","310.70684427427705"
"Cabo Verde","2021","US$","3293.2333221717654"
"Cambodia","2021","US$","1607.6589285354175"
"Cameroon","2021","US$","1668.012410181408"
"Canada","2021","US$","52112.06149581127"
"Caribbean","2021","US$","9801.98057874532"
"Cayman Islands","2021","US$","85250.26525255802"
"Central African Republic","2021","US$","461.36101321537"
"Central America","2021","US$","8783.212940918816"
"Central Asia","2021","US$","4396.6968616117"
"Chad","2021","US$","955.1696725682955"
"Chile","2021","US$","16265.096434070081"
"China (mainland)","2021","US$","12437.206097525663"
"China, Hong Kong SAR","2021","US$","49258.81434660794"
"China, Macao Special Administrative Region","2021","US$","43554.859734225865"
"Colombia","2021","US$","6104.1367093038925"
"Comoros","2021","US$","1631.4845533623006"
"Congo","2021","US$","2200.317775363399"
"Cook Islands","2021","US$","19263.89002258653"
"Costa Rica","2021","US$","12472.443327392959"
"Croatia","2021","US$","16983.44731725539"
"Cuba","2021","US$","11255.278949558526"
"Curaçao","2021","US$","14183.255280476935"
"Cyprus","2021","US$","32280.928826946954"
"Czechia","2021","US$","26808.53985804159"
"Côte d'Ivoire","2021","US$","2538.9110713960463"
"Democratic People's Republic of Korea","2021","US$","654.1480075803547"
"Democratic Republic of the Congo","2021","US$","551.127775172991"
"Denmark","2021","US$","68036.71744999515"
"Djibouti","2021","US$","3348.0133913473587"
"Dominica","2021","US$","7570.783781489052"
"Dominican Republic","2021","US$","8476.749688279982"
"Eastern Africa","2021","US$","999.2664423607339"
"Eastern Asia","2021","US$","15445.79826724775"
"Eastern Europe","2021","US$","12655.045969607063"
"Ecuador","2021","US$","5965.132870544159"
"Egypt","2021","US$","3898.0197303003542"
"El Salvador","2021","US$","4551.184796822764"
"Equatorial Guinea","2021","US$","7605.453386031027"
"Eritrea","2021","US$","622.9821402344012"
"Estonia","2021","US$","27990.621029095353"
"Ethiopia","2021","US$","825.2911140797497"
"Europe","2021","US$","31874.943316918096"
"Fiji","2021","US$","4646.537921378701"
"Finland","2021","US$","53703.45252002731"
"France","2021","US$","44229.39371527279"
"French Polynesia","2021","US$","19914.599058609758"
"Gabon","2021","US$","7910.846082612401"
"Gambia","2021","US$","772.1514523861231"
"Georgia","2021","US$","4975.12492080027"
"Germany","2021","US$","51073.11789413874"
"Ghana","2021","US$","2408.634902627499"
"Greece","2021","US$","20571.21793576842"
"Greenland","2021","US$","58185.240746841344"
"Grenada","2021","US$","8950.228562002334"
"Guatemala","2021","US$","4883.207815943189"
"Guinea","2021","US$","1185.0591401061452"
"Guinea-Bissau","2021","US$","758.5521196778986"
"Guyana","2021","US$","9998.545452228725"
"Haiti","2021","US$","1663.5620621990035"
"Honduras","2021","US$","2771.7226164524714"
"Hungary","2021","US$","18728.32441764323"
"Iceland","2021","US$","69133.13408221582"
"India","2021","US$","2274.4765416097475"
"Indonesia","2021","US$","4332.709280894053"
"Iran, Islamic Republic of","2021","US$","6766.020901611621"
"Iraq","2021","US$","4686.129928661717"
"Ireland","2021","US$","101108.98915909439"
"Israel","2021","US$","54111.02104466244"
"Italy","2021","US$","35578.85106731486"
"Jamaica","2021","US$","5183.580141575789"
"Japan","2021","US$","39649.92750532652"
"Jordan","2021","US$","4058.3543011603215"
"Kazakhstan","2021","US$","10054.890081729845"
"Kenya","2021","US$","2081.798969889229"
"Kingdom of Eswatini","2021","US$","3968.90595896081"
"Kiribati","2021","US$","1764.9344861010507"
"Kosovo","2021","US$","5663.086498206868"
"Kuwait","2021","US$","32150.178824381477"
"Kyrgyzstan","2021","US$","1339.0052104083031"
"Lao People's Democratic Republic","2021","US$","2568.9240823807922"
"Latin America and the Caribbean","2021","US$","8100.5864256428595"
"Latvia","2021","US$","21267.462243470003"
"Lebanon","2021","US$","6784.799327725862"
"Lesotho","2021","US$","1040.30867404702"
"Liberia","2021","US$","470.7670163530131"
"Libya","2021","US$","5791.254976497968"
"Liechtenstein","2021","US$","169260.216995924"
"Lithuania","2021","US$","23844.125649522364"
"Luxembourg","2021","US$","133745.40150218992"
"Madagascar","2021","US$","499.72218508888477"
"Malawi","2021","US$","613.3410497030552"
"Malaysia","2021","US$","11100.943724686304"
"Maldives","2021","US$","10366.294434637035"
"Mali","2021","US$","874.5524142319227"
"Malta","2021","US$","33641.59568484012"
"Marshall Islands","2021","US$","6111.27229488704"
"Mauritania","2021","US$","2166.044796625597"
"Mauritius","2021","US$","8872.95918952896"
"Melanesia","2021","US$","3574.990241183722"
"Mexico","2021","US$","10045.676371041029"
"Micronesia","2021","US$","4009.763391938156"
"Micronesia (Federated States of)","2021","US$","3572.6551519919385"
"Middle Africa","2021","US$","1219.463681059283"
"Monaco","2021","US$","234317.08481827597"
"Mongolia","2021","US$","4509.85839327106"
"Montenegro","2021","US$","9252.311915536213"
"Montserrat","2021","US$","16199.419582589155"
"Morocco","2021","US$","3853.2833317302475"
"Mozambique","2021","US$","491.83911277653095"
"Myanmar","2021","US$","1088.9252062864941"
"Namibia","2021","US$","4836.174241463731"
"Nauru","2021","US$","12390.370114941867"
"Nepal","2021","US$","1205.5000022008517"
"Netherlands","2021","US$","57871.349209626766"
"New Caledonia","2021","US$","34994.26583446173"
"New Zealand","2021","US$","48823.507779533866"
"Nicaragua","2021","US$","2045.534286650415"
"Niger","2021","US$","590.6294772651623"
"Nigeria","2021","US$","2019.308062818724"
"Northern Africa","2021","US$","3345.9989916354734"
"Northern America","2021","US$","67454.66936662084"
"Northern Europe","2021","US$","53057.2107897439"
"Norway","2021","US$","89241.71393780549"
"Oceania","2021","US$","46087.60397920243"
"Oman","2021","US$","19509.466486400015"
"Pakistan","2021","US$","1480.1107268919275"
"Palau","2021","US$","12084.128273413227"
"Panama","2021","US$","14617.596617490952"
"Papua New Guinea","2021","US$","2672.9671739215005"
"Paraguay","2021","US$","6035.143063868031"
"Peru","2021","US$","6621.65260383678"
"Philippines","2021","US$","3460.5311230111492"
"Poland","2021","US$","17736.419557001722"
"Polynesia","2021","US$","11828.380870114353"
"Portugal","2021","US$","24651.176434873312"
"Puerto Rico","2021","US$","32716.456983785152"
"Qatar","2021","US$","66798.76705368"
"Republic of Korea","2021","US$","34940.411261751535"
"Republic of Moldova","2021","US$","4468.4212899075"
"Republic of North Macedonia","2021","US$","6599.619340407647"
"Romania","2021","US$","14697.754288910164"
"Russian Federation","2021","US$","12258.772019778926"
"Rwanda","2021","US$","822.3157487276883"
"Saint Kitts and Nevis","2021","US$","18082.68798984255"
"Saint Lucia","2021","US$","9824.062102302467"
"Saint Vincent and the Grenadines","2021","US$","8440.025094392402"
"Samoa","2021","US$","3918.6581040844385"
"San Marino","2021","US$","50425.10214352892"
"Sao Tome and Principe","2021","US$","2485.8175523774357"
"Saudi Arabia","2021","US$","23185.870791780246"
"Senegal","2021","US$","1636.8798252104932"
"Serbia","2021","US$","8643.29239749049"
"Seychelles","2021","US$","12084.627638868453"
"Sierra Leone","2021","US$","504.6212380524163"
