"Country/Area","Year","Unit","Population"
"Afghanistan","2021","Persons","40099462"
"Albania","2021","Persons","2854710"
"Algeria","2021","Persons","44177969"
"Andorra","2021","Persons","79034"
"Angola","2021","Persons","34503774"
"Anguilla","2021","Persons","15753"
"Antigua and Barbuda","2021","Persons","93219"
"Argentina","2021","Persons","45276780"
"Armenia","2021","Persons","2790974"
"Aruba","2021","Persons","106537"
"Australia","2021","Persons","25921089"
"Austria","2021","Persons","8922082"
"Azerbaijan","2021","Persons","10312992"
"Bahamas","2021","Persons","407906"
"Bahrain","2021","Persons","1463265"
"Bangladesh","2021","Persons","169356251"
"Barbados","2021","Persons","281200"
"Belarus","2021","Persons","9578167"
"Belgium","2021","Persons","11611419"
"Belize","2021","Persons","400031"
"Benin","2021","Persons","12996895"
"Bermuda","2021","Persons","64185"
"Bhutan","2021","Persons","777486"
"Bolivia (Plurinational State of)","2021","Persons","12079472"
"Bosnia and Herzegovina","2021","Persons","3270943"
"Botswana","2021","Persons","2588423"
"Brazil","2021","Persons","214326223"
"British Virgin Islands","2021","Persons","31122"
"Brunei Darussalam","2021","Persons","445373"
"Bulgaria","2021","Persons","6885868"
"Burkina Faso","2021","Persons","22100683"
"Burundi","2021","Persons","12551213"
"Cabo Verde","2021","Persons","587925"
"Cambodia","2021","Persons","16589023"
"Cameroon","2021","Persons","27198628"
"Canada","2021","Persons","38155012"
"Cayman Islands","2021","Persons","68136"
"Central African Republic","2021","Persons","5457154"
"Chad","2021","Persons","17179740"
"Chile","2021","Persons","19493184"
"China (mainland)","2021","Persons","1425893465"
"China, Hong Kong SAR","2021","Persons","7494578"
"China, Macao Special Administrative Region","2021","Persons","686607"
"Colombia","2021","Persons","51516562"
"Comoros","2021","Persons","821625"
"Congo","2021","Persons","5835806"
"Cook Islands","2021","Persons","17003"
"Costa Rica","2021","Persons","5153957"
"Croatia","2021","Persons","4060135"
"Cuba","2021","Persons","11256372"
"Curaçao","2021","Persons","190338"
"Cyprus","2021","Persons","880028"
"Czechia","2021","Persons","10510751"
"Côte d'Ivoire","2021","Persons","27478249"
"Democratic People's Republic of Korea","2021","Persons","25606518"
"Democratic Republic of the Congo","2021","Persons","95894118"
"Denmark","2021","Persons","5854240"
"Djibouti","2021","Persons","1105557"
"Dominica","2021","Persons","72412"
"Dominican Republic","2021","Persons","11117873"
"Ecuador","2021","Persons","17797737"
"Egypt","2021","Persons","109262178"
"El Salvador","2021","Persons","6314167"
"Equatorial Guinea","2021","Persons","1634466"
"Eritrea","2021","Persons","3620312"
"Estonia","2021","Persons","1328701"
"Ethiopia","2021","Persons","120283026"
"Fiji","2021","Persons","924610"
"Finland","2021","Persons","5535992"
"France","2021","Persons","66875883"
"French Polynesia","2021","Persons","304032"
"Gabon","2021","Persons","2341179"
"Gambia","2021","Persons","2639916"
"Georgia","2021","Persons","3757980"
"Germany","2021","Persons","83408554"
"Ghana","2021","Persons","32833031"
"Greece","2021","Persons","10445365"
"Greenland","2021","Persons","56243"
"Grenada","2021","Persons","124610"
"Guatemala","2021","Persons","17608483"
"Guinea","2021","Persons","13531906"
"Guinea-Bissau","2021","Persons","2060721"
"Guyana","2021","Persons","804567"
"Haiti","2021","Persons","11447569"
"Honduras","2021","Persons","10278345"
"Hungary","2021","Persons","9709786"
"Iceland","2021","Persons","370335"
"India","2021","Persons","1407563842"
"Indonesia","2021","Persons","273753191"
"Iran, Islamic Republic of","2021","Persons","87923432"
"Iraq","2021","Persons","43533592"
"Ireland","2021","Persons","4986526"
"Israel","2021","Persons","8900059"
"Italy","2021","Persons","59240329"
"Jamaica","2021","Persons","2827695"
"Japan","2021","Persons","124612530"
"Jordan","2021","Persons","11148278"
"Kazakhstan","2021","Persons","19196465"
"Kenya","2021","Persons","53005614"
"Kingdom of Eswatini","2021","Persons","1192271"
"Kiribati","2021","Persons","128874"
"Kosovo","2021","Persons","1662009"
"Kuwait","2021","Persons","4250114"
"Kyrgyzstan","2021","Persons","6527743"
"Lao People's Democratic Republic","2021","Persons","7425057"
"Latvia","2021","Persons","1873919"
"Lebanon","2021","Persons","5592631"
"Lesotho","2021","Persons","2281454"
"Liberia","2021","Persons","5193416"
"Libya","2021","Persons","6735277"
"Liechtenstein","2021","Persons","39039"
"Lithuania","2021","Persons","2786651"
"Luxembourg","2021","Persons","639321"
"Madagascar","2021","Persons","28915653"
"Malawi","2021","Persons","19889742"
"Malaysia","2021","Persons","33573874"
"Maldives","2021","Persons","521457"
"Mali","2021","Persons","21904983"
"Malta","2021","Persons","526748"
"Marshall Islands","2021","Persons","42050"
"Mauritania","2021","Persons","4614974"
"Mauritius","2021","Persons","1298915"
"Mexico","2021","Persons","126705138"
"Micronesia (Federated States of)","2021","Persons","113131"
"Monaco","2021","Persons","36686"
"Mongolia","2021","Persons","3347782"
"Montenegro","2021","Persons","627859"
"Montserrat","2021","Persons","4417"
"Morocco","2021","Persons","37076584"
"Mozambique","2021","Persons","32077072"
"Myanmar","2021","Persons","53798084"
"Namibia","2021","Persons","2530151"
"Nauru","2021","Persons","12511"
"Nepal","2021","Persons","30034989"
"Netherlands","2021","Persons","17501696"
"New Caledonia","2021","Persons","287800"
"New Zealand","2021","Persons","5129727"
"Nicaragua","2021","Persons","6850540"
"Niger","2021","Persons","25252722"
"Nigeria","2021","Persons","213401323"
"Norway","2021","Persons","5403021"
"Oman","2021","Persons","4520471"
"Pakistan","2021","Persons","231402117"
"Palau","2021","Persons","18024"
"Panama","2021","Persons","4351267"
"Papua New Guinea","2021","Persons","9949437"
"Paraguay","2021","Persons","6703799"
"Peru","2021","Persons","33715471"
"Philippines","2021","Persons","113880328"
"Poland","2021","Persons","38307726"
"Portugal","2021","Persons","10290103"
"Puerto Rico","2021","Persons","3256028"
"Qatar","2021","Persons","2688235"
"Republic of Korea","2021","Persons","51830139"
"Republic of Moldova","2021","Persons","3061506"
"Republic of North Macedonia","2021","Persons","2103330"
"Romania","2021","Persons","19328560"
"Russian Federation","2021","Persons","145102755"
"Rwanda","2021","Persons","13461888"
"Saint Kitts and Nevis","2021","Persons","47606"
"Saint Lucia","2021","Persons","179651"
"Saint Vincent and the Grenadines","2021","Persons","104332"
"Samoa","2021","Persons","218764"
"San Marino","2021","Persons","33745"
"Sao Tome and Principe","2021","Persons","223107"
"Saudi Arabia","2021","Persons","35950396"
"Senegal","2021","Persons","16876720"
"Serbia","2021","Persons","7296769"
"Seychelles","2021","Persons","106471"
"Sierra Leone","2021","Persons","8420641"
"Singapore","2021","Persons","5941060"
"Sint Maarten (Dutch part)","2021","Persons","44042"
"Slovakia","2021","Persons","5447622"
"Slovenia","2021","Persons","2119410"
"Solomon Islands","2021","Persons","707851"
"Somalia","2021","Persons","17065581"
"South Africa","2021","Persons","59392255"
"South Sudan","2021","Persons","10748272"
"Spain","2021","Persons","47486935"
"Sri Lanka","2021","Persons","21773441"
"State of Palestine","2021","Persons","5133392"
"Sudan","2021","Persons","45657202"
"Suriname","2021","Persons","612985"
"Sweden","2021","Persons","10467097"
"Switzerland","2021","Persons","8691406"
"Syrian Arab Republic","2021","Persons","21324367"
"Tajikistan","2021","Persons","9750064"
"Thailand","2021","Persons","71601103"
"Timor-Leste","2021","Persons","1320942"
"Togo","2021","Persons","8644829"
"Tonga","2021","Persons","106017"
"Trinidad and Tobago","2021","Persons","1525663"
"Tunisia","2021","Persons","12262946"
"Turkmenistan","2021","Persons","6341855"
"Turks and Caicos Islands","2021","Persons","45114"
"Tuvalu","2021","Persons","11204"
"Türkiye","2021","Persons","84775404"
"Uganda","2021","Persons","45853778"
"Ukraine","2021","Persons","43531422"
"United Arab Emirates","2021","Persons","9365145"
"United Kingdom of Great Britain and Northern Ireland","2021","Persons","67281039"
"United Republic of Tanzania: Mainland","2021","Persons","61870726"
"United Republic of Tanzania: Zanzibar","2021","Persons","1717608"
"United States","2021","Persons","336997624"
"Uruguay","2021","Persons","3426260"
"Uzbekistan","2021","Persons","34081449"
"Vanuatu","2021","Persons","319137"
"Venezuela (Bolivarian Republic of)","2021","Persons","28199867"
"Viet Nam","2021","Persons","97468029"
"Yemen","2021","Persons","32981641"
"Zambia","2021","Persons","19473125"
"Zimbabwe","2021","Persons","15993524"
