"start hs2","end hs2","category"
01,02,Animals
03,03,Fish
04,05,Animals
06,15,Vegetables
16,24,Foodstuffs
25,26,Minerals
27,27,Fuel and Energy
28,29,Chemicals
30,30,Medicines
31,38,Chemicals
39,40,Polymers
41,41,Animals
42,43,Clothes
44,45,Wood
46,48,Paper
49,49,Art
50,59,Fabric
60,67,Clothes
68,70,Minerals
71,71,Precious Stones and Metals
72,81,Metals
82,83,Manufactured
84,84,Machinery
85,85,Electrical and Electronics
86,89,Vehicles
90,91,Instruments
92,92,Art
93,96,Manufactured
97,97,Art
99,99,
